fsq_id,name,latitude,longitude,address,category,date_created,name_clean,suspicious_name,price,rating,total_photos,total_ratings,total_tips,tastes,tips,price_level,neighborhoods
6352ce9d5269ff3d52b16150,Prego,24.827306,46.727803,"Saeed Bin Zayd Rd., الرياض 13248",['Italian Restaurant'],2022-10-21,prego,False,$$,6.9,2749.0,169.0,40.0,"['ginger', 'lemon', 'Caesar salad', 'classic mojito', 'Italian food', 'truffle risotto']","[{'content': '""... salad with chicken, truffle risotto, and pesto pizza were all great, I loved...""(2 Tips)', 'tag': 'truffle risotto', 'tag_counts': '(2 Tips)'}, {'content': '""Margarita pizza""(3 Tips)', 'tag': 'pizza', 'tag_counts': '(3 Tips)'}, {'content': '""The fettuccine is a must 👌🏼""(2 Tips)', 'tag': 'fettuccine', 'tag_counts': '(2 Tips)'}, {'content': '""spaghetti eggplant was ok""(2 Tips)', 'tag': 'eggplant', 'tag_counts': '(2 Tips)'}]",,Qurtubah Dist.
591344cad4cc9844b3a15ca4,المذاق المغربي,24.83113498729168,46.73043314585741,"Althumammah (Althumammah), الرياض 13248",['Tea Room'],2017-05-10,المذاق المغربي,False,$$,8.8,99.0,117.0,9.0,,,,Qurtubah Dist.
61e03044cceb936825dd3535,12Gram,24.825859,46.728462,الرياض 13248,['Coffee Shop'],2021-12-10,12gram,False,$,7.5,188.0,17.0,5.0,,,,Qurtubah Dist.
6241d54b87ab846c8075c5c6,Papa Boun Briocherie,24.828195,46.72759,الرياض 13248,"['Café', 'Bakery', 'Brasserie']",2022-03-28,papa boun briocherie,False,$,6.1,42.0,8.0,1.0,,,,Qurtubah Dist.
61bf986380c3980ac5274e9f,house of la burgeria,24.826165,46.728563,"Riyadh (الثمامة), الرياض 13248",['Burger Joint'],2021-12-19,house of la burgeria,False,$,7.4,320.0,40.0,8.0,,,2.0,Qurtubah Dist.
633aa2d98c3fad4b201b529e,8Oz Coffee,24.836322,46.721045,الرياض 13412,['Coffee Shop'],2022-10-03,8oz coffee,False,$,7.8,113.0,14.0,2.0,,,,Imam Muhammed Bin Saud Islamic University
68c08a714798e64b26c1769b,Sobhy Kaber (صبحي كابر),24.827777,46.726786,"Park Avenue (Saeed Bin Zaid St), الرياض 13247",['Egyptian Restaurant'],2025-09-09,sobhy kaber (صبحي كابر),False,Riyadh (Thumamah),,0.0,,0.0,,,,Qurtubah Dist.
61bfa08de878e20242b93715,Another Slider,24.8279,46.727685,"Riyadh (الثمامة), الرياض 13248",['Burger Joint'],2021-12-19,another slider,False,$,6.2,150.0,14.0,7.0,"['quinoa salad', 'crispy chicken sliders', 'friendly staff', 'classic beef', 'truffle burgers', 'french fries', 'beef sliders']","[{'content': '""... classic beef slider, crispy chicken slider, french fries, cow boy slider were all...""(2 Tips)', 'tag': 'crispy chicken slider', 'tag_counts': '(2 Tips)'}, {'content': '""Good service and place but the food was average.""(2 Tips)', 'tag': 'Good service', 'tag_counts': '(2 Tips)'}]",,Qurtubah Dist.
59934efcb9ac381ee986d954,Superano (سوبرانو),24.83112402311921,46.73042641853378,"Thumamah Road, الرياض",['Ice Cream Parlor'],2017-08-15,superano (سوبرانو),False,$,7.9,90.0,33.0,5.0,,,1.0,Qurtubah Dist.
6581f281c6f4ad49e578d00d,Sushi Library,24.828594,46.727267,الرياض 13248,['Sushi Restaurant'],2023-12-19,sushi library,False,$$,,60.0,,2.0,,,,Qurtubah Dist.
